gene,mean_adjacent endometriosis,mean_atypical endometriosis,log2FC,pvalue,padj
EIF4E,8.736228783500001,8.255635741944445,0.48059304155555616,2.427176162527726e-05,0.002936883156658548
EIF2S1,7.452013959499999,6.968194643611111,0.48381931588888794,0.0003260371008481618,0.016194379667379886
WFS1,8.1719021594,8.969162691222223,-0.7972605318222232,0.0004015135454722286,0.016194379667379886
DKC1,6.9788845061,6.46108912338889,0.5177953827111104,0.0005548768242557512,0.016785023933736473
CEBPG,5.719298612999999,5.226037640222222,0.4932609727777777,0.0007143524933340773,0.01728733033868467
ZBTB17,6.957141558000001,7.390195459722223,-0.43305390172222236,0.0011669166945983299,0.01890691839811825
EEF2,14.731914738999999,15.099019134444445,-0.3671043954444464,0.0011763734217292929,0.01890691839811825
SLC30A5,6.7369997095,6.365373883888889,0.3716258256111109,0.001250044191611124,0.01890691839811825
YWHAZ,6.8965840267,6.437196205,0.45938782170000003,0.0033149183616024954,0.044567235750433545
DCTN1,10.049833166700001,10.462225340888887,-0.4123921741888861,0.0041877673134766,0.050671984493066854
CANX,10.425032492,10.918504048833334,-0.49347155683333455,0.006486913774443481,0.07135605151887829
KDELR3,7.4102993772,6.805393689500001,0.6049056876999996,0.008029330870267805,0.07666929622925024
SSR1,9.8075358205,9.486529132944444,0.32100668755555617,0.009466230467309888,0.07666929622925024
NFYB,9.2286442501,9.518140300777779,-0.28949605067777817,0.009509015126722899,0.07666929622925024
CNOT4,9.5908176936,10.073038393055556,-0.48222069945555646,0.00960180631908379,0.07666929622925024
EIF4A1,13.285786299,12.945720164444445,0.34006613455555446,0.01013808875758681,0.07666929622925024
NFYA,8.969220296500001,8.667117133333335,0.30210316316666663,0.014726694590163536,0.10481941443586987
BBC3,5.3030197368000005,4.913727150333333,0.3892925864666674,0.01746996633972749,0.10542196912084772
FUS,9.7044819555,10.000502201944444,-0.2960202464444439,0.01815470385356973,0.10542196912084772
SEC11A,8.190863763900001,8.564169758555556,-0.3733059946555546,0.019030917318541566,0.10542196912084772
EDEM1,9.120440416,9.441111657444445,-0.3206712414444457,0.019610994126008433,0.10542196912084772
IL6,7.223340505600001,5.9476119328333334,1.2757285727666678,0.020691482873692983,0.10542196912084772
EXOSC9,7.734101808999999,7.403033874944445,0.3310679340555547,0.020849426389325684,0.10542196912084772
TUBB2A,8.075660902100001,7.286611745944445,0.7890491561555564,0.022179813580929023,0.10542196912084772
PREB,8.3139478921,8.739244808555556,-0.42529691645555623,0.02232060422104295,0.10542196912084772
HSPA9,10.135829971899998,9.806380698611111,0.32944927328888696,0.02265265452183505,0.10542196912084772
STAT3,11.047066754,10.74829080777778,0.2987759462222197,0.029157687345878976,0.13066963588338357
RRP9,6.1159026564,5.823599813555556,0.2923028428444443,0.03090659451132056,0.13356064056677813
YIF1A,9.6966564781,9.358941476055556,0.33771500204444393,0.03216394903433353,0.13420130459152957
SPCS1,9.3532562343,8.994174278222221,0.3590819560777785,0.03626172506413669,0.14351393564359252
VEGFA,10.8608027973,9.951808145222222,0.9089946520777783,0.036974465593153004,0.14351393564359252
EIF4A3,8.614534238100001,7.920857416722224,0.6936768213777773,0.03795409868260298,0.14351393564359252
CALR,12.16452807,12.548344397222222,-0.38381632722222214,0.04382686017113717,0.15861115708445753
SEC31A,12.941717152,12.662184151666667,0.27953300033333406,0.0445684243047236,0.15861115708445753
ASNS,8.1533999141,7.845172081833334,0.30822783226666584,0.04790648508472014,0.16561956272146106
PDIA6,10.824404608,10.577465352722223,0.24693925527777694,0.05550192335253445,0.18654813126824077
ATF3,10.2688718874,8.79564086361111,1.4732310237888893,0.06946445980035293,0.2271675577254785
SLC1A4,8.454768525599999,8.761157181944444,-0.30638865634444556,0.07254534329240193,0.2304375875462155
EIF4G1,11.607621833,11.367668760555555,0.23995307244444497,0.07427327201902813,0.2304375875462155
NOLC1,9.706827703600002,9.445439163166666,0.2613885404333356,0.082015095916692,0.23738845052964436
DNAJA4,8.2684186538,7.951482076111112,0.31693657768888794,0.08505108771030741,0.23738845052964436
EXOSC5,6.990730676499998,7.218948771277777,-0.22821809477777855,0.08581685608721458,0.23738845052964436
DDX10,8.6003029122,8.766614338555554,-0.16631142635555385,0.08803895686095695,0.23738845052964436
SEL1L,9.3860201419,9.638663744944445,-0.25264360304444544,0.08912753499683167,0.23738845052964436
DDIT4,9.9114047327,9.139616678166668,0.7717880545333315,0.08950416379619006,0.23738845052964436
WIPI1,8.5249270266,8.248297951722222,0.27662907487777844,0.0902574909214697,0.23738845052964436
GOSR2,6.4473617632,6.234197083833333,0.21316467936666683,0.09248008066246617,0.23738845052964436
TATDN2,8.668240125999999,8.896860540888888,-0.22862041488888885,0.09544995799655148,0.23738845052964436
EIF4A2,12.548001171,12.745664578333333,-0.19766340733333365,0.09613251302440143,0.23738845052964436
PSAT1,6.4993298618,5.782610065277777,0.7167197965222227,0.09931120126401259,0.24033310705891048
SPCS3,8.645790596600001,8.98739665511111,-0.34160605851110937,0.10504325981018414,0.24861256630972106
DCP1A,9.1230180002,8.966586332166667,0.15643166803333308,0.10684176403392971,0.24861256630972106
NOP56,9.892759555100001,9.710440136055556,0.18231941904444504,0.11406833379009378,0.26042015827549714
CCL2,11.373803240800001,10.672598890777776,0.7012043500222251,0.1284662508913975,0.2845403616932897
PARN,9.5238576696,9.340775448166667,0.18308222143333275,0.12933652804240442,0.2845403616932897
BAG3,10.5707985112,10.18873429238889,0.3820642188111094,0.14000875513579794,0.3002271305202112
HSP90B1,11.551592282000001,11.355845989999999,0.1957462920000026,0.1414293094186119,0.3002271305202112
XPOT,8.051142443,8.246520376277779,-0.1953779332777792,0.14724586346739266,0.3040935331315219
EXOC2,7.924551436499999,7.7602198455555556,0.16433159094444338,0.14827701202280819,0.3040935331315219
SLC7A5,7.268093664199999,6.8519989035,0.4160947606999992,0.15441946867062806,0.31141259515243325
SHC1,11.605766016999999,11.447217335555555,0.15854868144444367,0.1606629461963068,0.31869207360251023
EXOSC4,6.777088351900001,6.585621463444443,0.19146688845555726,0.1797201854367986,0.3470753995204674
RELA,8.184791433600001,8.363113947222221,-0.17832251362221996,0.18165575855117622,0.3470753995204674
HSPA5,9.650236167,9.443917155444446,0.20631901155555354,0.1835770708207431,0.3470753995204674
SYVN1,8.197660151400001,8.349967207888888,-0.15230705648888687,0.19865680649581174,0.36980728593835727
TSPYL2,10.0067330268,9.692070978333332,0.31466204846666734,0.21134623235389527,0.38746809264880805
PAIP1,9.151638737,9.020593235555557,0.1310455014444436,0.2386785369293354,0.4310463129619341
GEMIN4,5.421676918699999,5.523323668555556,-0.10164674985555688,0.2776550146986764,0.4867132511714129
DNAJB9,8.0971479789,7.865504192777777,0.23164378612222336,0.27983052504008565,0.4867132511714129
BANF1,6.5299306572999996,6.673059404555556,-0.14312874725555602,0.28156964943800744,0.4867132511714129
IMP3,4.284187125,4.416907458555555,-0.13272033355555557,0.2914408495031669,0.496680884364552
DCP2,9.4583872442,9.592250618333333,-0.13386337413333216,0.3158638357249263,0.5308267239266122
EXOSC2,8.903975554,8.75456030111111,0.14941525288888968,0.32691208904997765,0.541867983219826
CKS1B,8.4377887522,8.215519177055555,0.2222695751444448,0.33268526807205595,0.5439853707664699
CNOT2,9.5955437798,9.492820864611112,0.10272291518888821,0.33984225399245,0.5473995638456541
PDIA5,8.6492258076,8.84232992511111,-0.19310411751111012,0.34382121365512164,0.5473995638456541
HERPUD1,10.3823836688,10.597666155944445,-0.21528248714444587,0.3505198167742074,0.5508168549308974
KHSRP,9.0222938125,8.905402250055554,0.11689156244444554,0.3777861214335023,0.5860528294032537
STC2,6.2292226147,5.936216422055555,0.2930061926444454,0.40154470739588716,0.6150241720873715
ATP6V0D1,7.8038962839,7.687352780777778,0.11654350312222217,0.42954283781173075,0.6384501202335265
LSM1,7.2362544901999994,7.333931827222222,-0.09767733702222259,0.43225030123047237,0.6384501202335265
ALDH18A1,8.4882897625,8.386787102722224,0.1015026597777755,0.43402996577354563,0.6384501202335265
LSM4,6.9708286462,6.852531374055556,0.11829727214444397,0.43794512379655126,0.6384501202335265
EIF4EBP1,8.376104998799999,8.472234640499998,-0.09612964169999927,0.45984399913439966,0.6623943320864566
MTHFD2,7.6447007632999995,7.831720042277778,-0.18701927897777892,0.4869700738111273,0.6932162227193694
NABP1,8.1991291326,8.046374161444444,0.1527549711555558,0.4987784027825794,0.6950315654449694
RPS14,4.9368206086,4.855427637388889,0.08139297121111078,0.4997334396174573,0.6950315654449694
ARFGAP1,8.2882271018,8.385343604611112,-0.09711650281111162,0.5068403906003222,0.6969055370754429
POP4,7.164168912399999,7.2322663343333335,-0.06809742193333435,0.5319048804161246,0.7231515789927088
